+44,When Your Heart Stops Beating
Alien Ant Farm,Movies
Ash,Burn Baby Burn
Bad Religion,21st Century (Digital Boy)
blink-182,Dammit
blink-182,What's My Age Again?
blink-182,All The Small Things
blink-182,The Rock Show
The Bouncing Souls,Lean On Sheena
Bowling For Soup,Girl All the Bad Guys Want
Buzzcocks,Ever Fallen in Love
The Clash,Rock the Casbah
The Clash,London Calling
The Coral,Dreaming of You
Dead Kennedys,Holiday in Cambodia
Feeder,Buck Rogers
Feeder,Just a Day
Foo Fighters,Learn to Fly
Goldfinger,Just Like Heaven
Goldfinger,Superman
Goldfinger,99 Red Balloons
Goldfinger,Spokesman
Green Day,Longview
Green Day,Welcome to Paradise
Green Day,Basket Case
Green Day,Holiday
Green Day,Hitchin' a Ride
Green Day,Minority
The Hives,Hate To Say I Told You So
Hot Hot Heat,Bandages
Jimmy Eat World,The Middle
Kaiser Chiefs,I Predict A Riot
Lit,My Own Worst Enemy
Millencolin,Happiness For Dogs
Nirvana,Smells Like Teen Spirit
Nirvana,Breed
NOFX,Linoleum
OK Go,Here It Goes Again
Ramones,Blitzkrieg Bop
Rancid,Time Bomb
Reel Big Fish,Brown Eyed Girl
Reel Big Fish,Beer
Sex Pistols,Anarchy In The UK
Sex Pistols,Pretty Vacant
[spunge],Kicking Pigeons
The Stranglers,No More Heroes
Sublime,Santeria
